Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2015-08-10,20:00 (03:00),Premier League,Matchweek 1,Mon,Home,L,0,3,Manchester City,31,24564,Darren Fletcher,4-4-2,Mike Dean,Match Report,
2015-08-15,15:00 (22:00),Premier League,Matchweek 2,Sat,Away,D,0,0,Watford,36,20011,Darren Fletcher,4-4-2,Paul Tierney,Match Report,
2015-08-23,13:30 (20:30),Premier League,Matchweek 3,Sun,Home,L,2,3,Chelsea,44,23256,Darren Fletcher,4-1-4-1,Mark Clattenburg,Match Report,
2015-08-25,20:00 (03:00),League Cup,Second round,Tue,Home,D,0 (5),0 (3),Port Vale,,13915,,,Keith Stroud,Match Report,West Brom won on penalty kicks following extra time
2015-08-29,15:00 (22:00),Premier League,Matchweek 4,Sat,Away,W,1,0,Stoke City,51,26747,Boaz Myhill,4-5-1,Michael Oliver,Match Report,
2015-09-12,15:00 (22:00),Premier League,Matchweek 5,Sat,Home,D,0,0,Southampton,35,24265,Darren Fletcher,4-4-2,Stuart Attwell,Match Report,
2015-09-19,15:00 (22:00),Premier League,Matchweek 6,Sat,Away,W,1,0,Aston Villa,40,36321,Darren Fletcher,4-3-3,Martin Atkinson,Match Report,
2015-09-23,19:45 (02:45),League Cup,Third round,Wed,Away,L,0,3,Norwich City,,19015,,,Craig Pawson,Match Report,
2015-09-28,20:00 (03:00),Premier League,Matchweek 7,Mon,Home,L,2,3,Everton,46,24240,Darren Fletcher,4-3-3,Robert Madley,Match Report,
2015-10-03,12:45 (19:45),Premier League,Matchweek 8,Sat,Away,L,0,2,Crystal Palace,40,24033,Darren Fletcher,4-3-3,Jonathan Moss,Match Report,
2015-10-17,15:00 (22:00),Premier League,Matchweek 9,Sat,Home,W,1,0,Sunderland,56,24225,Darren Fletcher,4-4-2,Martin Atkinson,Match Report,
2015-10-24,15:00 (22:00),Premier League,Matchweek 10,Sat,Away,W,1,0,Norwich City,39,26983,Darren Fletcher,4-4-2,Kevin Friend,Match Report,
2015-10-31,15:00 (23:00),Premier League,Matchweek 11,Sat,Home,L,2,3,Leicester City,48,24150,Darren Fletcher,4-4-2,Anthony Taylor,Match Report,
2015-11-07,15:00 (23:00),Premier League,Matchweek 12,Sat,Away,L,0,2,Manchester Utd,32,75410,Darren Fletcher,4-5-1,Mike Dean,Match Report,
2015-11-21,15:00 (23:00),Premier League,Matchweek 13,Sat,Home,W,2,1,Arsenal,27,24343,Darren Fletcher,4-4-1-1,Mark Clattenburg,Match Report,
2015-11-29,14:05 (22:05),Premier League,Matchweek 14,Sun,Away,D,1,1,West Ham,39,34914,Darren Fletcher,4-4-1-1,Martin Atkinson,Match Report,
2015-12-05,15:00 (23:00),Premier League,Matchweek 15,Sat,Home,D,1,1,Tottenham,35,23602,Darren Fletcher,4-1-4-1,Jonathan Moss,Match Report,
2015-12-13,16:00 (00:00),Premier League,Matchweek 16,Sun,Away,D,2,2,Liverpool,30,44147,Darren Fletcher,4-1-4-1,Craig Pawson,Match Report,
2015-12-19,15:00 (23:00),Premier League,Matchweek 17,Sat,Home,L,1,2,Bournemouth,33,26127,Darren Fletcher,4-4-1-1,Mike Dean,Match Report,
2015-12-26,15:00 (23:00),Premier League,Matchweek 18,Sat,Away,L,0,1,Swansea City,45,20789,Darren Fletcher,4-4-1-1,Roger East,Match Report,
2015-12-28,15:00 (23:00),Premier League,Matchweek 19,Mon,Home,W,1,0,Newcastle Utd,52,26313,Chris Brunt,4-4-1-1,Mike Jones,Match Report,
