Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2016-08-14,16:00 (23:00),Premier League,Matchweek 1,Sun,Home,L,3,4,Liverpool,51,60033,Petr Čech,4-2-3-1,Michael Oliver,Match Report,
2016-08-20,17:30 (00:30),Premier League,Matchweek 2,Sat,Away,D,0,0,Leicester City,61,32008,Laurent Koscielny,4-2-3-1,Mark Clattenburg,Match Report,
2016-08-27,15:00 (22:00),Premier League,Matchweek 3,Sat,Away,W,3,1,Watford,55,20545,Laurent Koscielny,4-2-3-1,Kevin Friend,Match Report,
2016-09-10,15:00 (22:00),Premier League,Matchweek 4,Sat,Home,W,2,1,Southampton,57,59962,Laurent Koscielny,4-2-3-1,Robert Madley,Match Report,
2016-09-13,20:45 (02:45),Champions Lg,Group stage,Tue,Away,D,1,1,fr Paris S-G,48,46440,Laurent Koscielny,4-2-3-1,Viktor Kassai,Match Report,
2016-09-17,15:00 (22:00),Premier League,Matchweek 5,Sat,Away,W,4,1,Hull City,61,22536,Laurent Koscielny,4-2-3-1,Roger East,Match Report,
2016-09-20,19:45 (02:45),EFL Cup,Third round,Tue,Away,W,4,0,Nott'ham Forest,61,28567,Kieran Gibbs,4-4-2,Paul Tierney,Match Report,
2016-09-24,17:30 (00:30),Premier League,Matchweek 6,Sat,Home,W,3,0,Chelsea,50,60028,Laurent Koscielny,4-2-3-1,Michael Oliver,Match Report,
2016-09-28,19:45 (02:45),Champions Lg,Group stage,Wed,Home,W,2,0,ch Basel,65,59993,Laurent Koscielny,4-2-3-1,Danny Makkelie,Match Report,
2016-10-02,16:30 (23:30),Premier League,Matchweek 7,Sun,Away,W,1,0,Burnley,67,20982,Laurent Koscielny,4-2-3-1,Craig Pawson,Match Report,
2016-10-15,15:00 (22:00),Premier League,Matchweek 8,Sat,Home,W,3,2,Swansea City,49,60007,Laurent Koscielny,4-2-3-1,Jonathan Moss,Match Report,
2016-10-19,19:45 (02:45),Champions Lg,Group stage,Wed,Home,W,6,0,bg Ludogorets,43,59944,Laurent Koscielny,4-2-3-1,Artur Soares Dias,Match Report,
2016-10-22,15:00 (22:00),Premier League,Matchweek 9,Sat,Home,D,0,0,Middlesbrough,75,59982,Laurent Koscielny,4-2-3-1,Mike Dean,Match Report,
2016-10-25,19:45 (02:45),EFL Cup,Fourth round,Tue,Home,W,2,0,Reading,60,59865,Kieran Gibbs,4-4-2,Graham Scott,Match Report,
2016-10-29,12:30 (19:30),Premier League,Matchweek 10,Sat,Away,W,4,1,Sunderland,66,44322,Laurent Koscielny,4-2-3-1,Martin Atkinson,Match Report,
2016-11-01,21:45 (03:45),Champions Lg,Group stage,Tue,Away,W,3,2,bg Ludogorets,58,30862,Laurent Koscielny,4-2-3-1,Bas Nijhuis,Match Report,
2016-11-06,12:00 (20:00),Premier League,Matchweek 11,Sun,Home,D,1,1,Tottenham,46,60039,Laurent Koscielny,4-2-3-1,Mark Clattenburg,Match Report,
2016-11-19,12:30 (20:30),Premier League,Matchweek 12,Sat,Away,D,1,1,Manchester Utd,55,75264,Laurent Koscielny,4-2-3-1,Andre Marriner,Match Report,
2016-11-23,19:45 (03:45),Champions Lg,Group stage,Wed,Home,D,2,2,fr Paris S-G,46,59628,Laurent Koscielny,4-2-3-1,Felix Brych,Match Report,
2016-11-27,14:15 (22:15),Premier League,Matchweek 13,Sun,Home,W,3,1,Bournemouth,52,59978,Laurent Koscielny,4-2-3-1,Mike Jones,Match Report,
2016-11-30,19:45 (03:45),EFL Cup,Quarter-finals,Wed,Home,L,0,2,Southampton,63,59013,Kieran Gibbs,4-2-3-1,Kevin Friend,Match Report,
2016-12-03,17:30 (01:30),Premier League,Matchweek 14,Sat,Away,W,5,1,West Ham,50,56980,Laurent Koscielny,4-2-3-1,Craig Pawson,Match Report,
2016-12-06,20:45 (03:45),Champions Lg,Group stage,Tue,Away,W,4,1,ch Basel,59,36000,Laurent Koscielny,4-2-3-1,Jorge de Sousa,Match Report,
2016-12-10,15:00 (23:00),Premier League,Matchweek 15,Sat,Home,W,3,1,Stoke City,64,59964,Laurent Koscielny,4-2-3-1,Lee Mason,Match Report,
2016-12-13,19:45 (03:45),Premier League,Matchweek 16,Tue,Away,L,1,2,Everton,59,39510,Laurent Koscielny,4-2-3-1,Mark Clattenburg,Match Report,
2016-12-18,16:00 (00:00),Premier League,Matchweek 17,Sun,Away,L,1,2,Manchester City,39,54409,Laurent Koscielny,4-2-3-1,Martin Atkinson,Match Report,
2016-12-26,15:00 (23:00),Premier League,Matchweek 18,Mon,Home,W,1,0,West Brom,76,59925,Laurent Koscielny,4-2-3-1,Niel Swarbrick,Match Report,
2017-01-01,16:00 (00:00),Premier League,Matchweek 19,Sun,Home,W,2,0,Crystal Palace,64,59975,Laurent Koscielny,4-2-3-1,Andre Marriner,Match Report,
2017-01-03,19:45 (03:45),Premier League,Matchweek 20,Tue,Away,D,3,3,Bournemouth,60,11202,Laurent Koscielny,4-2-3-1,Michael Oliver,Match Report,
2017-01-07,17:30 (01:30),FA Cup,Third round,Sat,Away,W,2,1,Preston,,22185,,,Robert Madley,Match Report,
2017-01-14,15:00 (23:00),Premier League,Matchweek 21,Sat,Away,W,4,0,Swansea City,57,20875,Laurent Koscielny,4-2-3-1,Mike Jones,Match Report,
2017-01-22,14:15 (22:15),Premier League,Matchweek 22,Sun,Home,W,2,1,Burnley,70,59955,Laurent Koscielny,4-2-3-1,Jonathan Moss,Match Report,
2017-01-28,17:30 (01:30),FA Cup,Fourth round,Sat,Away,W,5,0,Southampton,,31288,,,Kevin Friend,Match Report,
2017-01-31,19:45 (03:45),Premier League,Matchweek 23,Tue,Home,L,1,2,Watford,74,60035,Laurent Koscielny,4-2-3-1,Andre Marriner,Match Report,
2017-02-04,12:30 (20:30),Premier League,Matchweek 24,Sat,Away,L,1,3,Chelsea,59,41490,Laurent Koscielny,4-2-3-1,Martin Atkinson,Match Report,
2017-02-11,12:30 (20:30),Premier League,Matchweek 25,Sat,Home,W,2,0,Hull City,49,59962,Laurent Koscielny,4-2-3-1,Mark Clattenburg,Match Report,
2017-02-15,20:45 (03:45),Champions Lg,Round of 16,Wed,Away,L,1,5,de Bayern Munich,26,70000,Laurent Koscielny,4-2-3-1,Milorad Mažić,Match Report,Leg 1 of 2
2017-02-20,19:55 (03:55),FA Cup,Fifth round,Mon,Away,W,2,0,Sutton United,,5013,,,Michael Oliver,Match Report,
2017-03-04,17:30 (01:30),Premier League,Matchweek 27,Sat,Away,L,1,3,Liverpool,48,53146,Laurent Koscielny,4-2-3-1,Robert Madley,Match Report,
