Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2016-08-14,13:30 (20:30),Premier League,Matchweek 1,Sun,Home,L,1,3,Manchester Utd,47,11355,Simon Francis,4-3-3,Andre Marriner,Match Report,
2016-08-21,16:00 (23:00),Premier League,Matchweek 2,Sun,Away,L,0,1,West Ham,53,56977,Simon Francis,4-4-1-1,Craig Pawson,Match Report,
2016-08-24,19:45 (02:45),EFL Cup,Second round,Wed,Away,W,2,1,Morecambe,60,2542,Simon Francis,4-4-2,Peter Bankes,Match Report,
2016-08-27,15:00 (22:00),Premier League,Matchweek 3,Sat,Away,D,1,1,Crystal Palace,41,23503,Simon Francis,4-3-3,Mike Dean,Match Report,
2016-09-10,15:00 (22:00),Premier League,Matchweek 4,Sat,Home,W,1,0,West Brom,64,11184,Simon Francis,4-4-1-1,Kevin Friend,Match Report,
2016-09-17,15:00 (22:00),Premier League,Matchweek 5,Sat,Away,L,0,4,Manchester City,36,54335,Simon Francis,4-5-1,Jonathan Moss,Match Report,
2016-09-20,19:45 (02:45),EFL Cup,Third round,Tue,Home,L,2,3,Preston,56,7595,Dan Gosling,4-5-1,Simon Hooper,Match Report,Required Extra Time
2016-09-24,15:00 (22:00),Premier League,Matchweek 6,Sat,Home,W,1,0,Everton,53,11291,Simon Francis,4-2-3-1,Robert Madley,Match Report,
2016-10-01,15:00 (22:00),Premier League,Matchweek 7,Sat,Away,D,2,2,Watford,52,20575,Simon Francis,4-2-3-1,Mike Dean,Match Report,
2016-10-15,15:00 (22:00),Premier League,Matchweek 8,Sat,Home,W,6,1,Hull City,50,11029,Simon Francis,4-2-3-1,Lee Mason,Match Report,
2016-10-22,12:30 (19:30),Premier League,Matchweek 9,Sat,Home,D,0,0,Tottenham,38,11201,Simon Francis,4-2-3-1,Craig Pawson,Match Report,
2016-10-29,15:00 (22:00),Premier League,Matchweek 10,Sat,Away,L,0,2,Middlesbrough,60,29600,Simon Francis,4-2-3-1,Stuart Attwell,Match Report,
2016-11-05,15:00 (23:00),Premier League,Matchweek 11,Sat,Home,L,1,2,Sunderland,70,11084,Simon Francis,4-2-3-1,Mike Dean,Match Report,
2016-11-19,15:00 (23:00),Premier League,Matchweek 12,Sat,Away,W,1,0,Stoke City,49,27815,Simon Francis,4-2-3-1,Roger East,Match Report,
2016-11-27,14:15 (22:15),Premier League,Matchweek 13,Sun,Away,L,1,3,Arsenal,49,59978,Simon Francis,4-2-3-1,Mike Jones,Match Report,
2016-12-04,13:30 (21:30),Premier League,Matchweek 14,Sun,Home,W,4,3,Liverpool,40,11183,Simon Francis,4-2-3-1,Robert Madley,Match Report,
2016-12-10,15:00 (23:00),Premier League,Matchweek 15,Sat,Away,L,2,3,Burnley,69,19680,Simon Francis,4-4-2,Martin Atkinson,Match Report,
2016-12-13,19:45 (03:45),Premier League,Matchweek 16,Tue,Home,W,1,0,Leicester City,63,11068,Simon Francis,4-2-3-1,Paul Tierney,Match Report,
2016-12-18,13:30 (21:30),Premier League,Matchweek 17,Sun,Home,L,1,3,Southampton,47,11113,Simon Francis,4-2-3-1,Mark Clattenburg,Match Report,
2016-12-26,15:00 (23:00),Premier League,Matchweek 18,Mon,Away,L,0,3,Chelsea,56,41384,Simon Francis,3-5-1-1,Mike Jones,Match Report,
2016-12-31,15:00 (23:00),Premier League,Matchweek 19,Sat,Away,W,3,0,Swansea City,55,20316,Simon Francis,4-2-3-1,Kevin Friend,Match Report,
2017-01-03,19:45 (03:45),Premier League,Matchweek 20,Tue,Home,D,3,3,Arsenal,40,11202,Simon Francis,4-2-3-1,Michael Oliver,Match Report,
2017-01-07,15:00 (23:00),FA Cup,Third round,Sat,Away,L,0,3,Millwall,,9471,,,Andy Madley,Match Report,
2017-01-14,15:00 (23:00),Premier League,Matchweek 21,Sat,Away,L,1,3,Hull City,61,17963,Andrew Surman,4-2-3-1,Martin Atkinson,Match Report,
2017-01-21,15:00 (23:00),Premier League,Matchweek 22,Sat,Home,D,2,2,Watford,63,11123,Andrew Surman,4-2-3-1,Lee Mason,Match Report,
2017-01-31,19:45 (03:45),Premier League,Matchweek 23,Tue,Home,L,0,2,Crystal Palace,65,11286,Simon Francis,4-2-3-1,Jonathan Moss,Match Report,
2017-02-04,15:00 (23:00),Premier League,Matchweek 24,Sat,Away,L,3,6,Everton,54,39026,Simon Francis,3-5-1-1,Mike Jones,Match Report,
2017-02-13,20:00 (04:00),Premier League,Matchweek 25,Mon,Home,L,0,2,Manchester City,38,11129,Simon Francis,4-1-4-1,Niel Swarbrick,Match Report,
2017-02-25,15:00 (23:00),Premier League,Matchweek 26,Sat,Away,L,1,2,West Brom,68,24162,Andrew Surman,4-2-3-1,Mark Clattenburg,Match Report,
2017-03-04,12:30 (20:30),Premier League,Matchweek 27,Sat,Away,D,1,1,Manchester Utd,32,75245,Andrew Surman,4-2-3-1,Kevin Friend,Match Report,
2017-03-11,15:00 (23:00),Premier League,Matchweek 28,Sat,Home,W,3,2,West Ham,52,11369,Simon Francis,4-2-3-1,Robert Madley,Match Report,
2017-03-18,17:30 (01:30),Premier League,Matchweek 29,Sat,Home,W,2,0,Swansea City,48,11240,Simon Francis,4-4-2,Mike Dean,Match Report,
2017-04-01,17:30 (00:30),Premier League,Matchweek 30,Sat,Away,D,0,0,Southampton,39,31847,Simon Francis,4-4-2,Jonathan Moss,Match Report,
2017-04-05,20:00 (03:00),Premier League,Matchweek 31,Wed,Away,D,2,2,Liverpool,33,53292,Simon Francis,4-4-1-1,Lee Mason,Match Report,
2017-04-08,17:30 (00:30),Premier League,Matchweek 32,Sat,Home,L,1,3,Chelsea,51,11283,Simon Francis,4-4-2,Andre Marriner,Match Report,
2017-04-15,12:30 (19:30),Premier League,Matchweek 33,Sat,Away,L,0,4,Tottenham,31,31943,Simon Francis,4-4-1-1,Michael Oliver,Match Report,
2017-04-22,15:00 (22:00),Premier League,Matchweek 34,Sat,Home,W,4,0,Middlesbrough,68,10890,Simon Francis,4-4-1-1,Graham Scott,Match Report,
2017-04-29,15:00 (22:00),Premier League,Matchweek 35,Sat,Away,W,1,0,Sunderland,59,38394,Simon Francis,4-4-1-1,Stuart Attwell,Match Report,
2017-05-06,15:00 (22:00),Premier League,Matchweek 36,Sat,Home,D,2,2,Stoke City,58,11046,Simon Francis,4-2-3-1,Paul Tierney,Match Report,
2017-05-13,15:00 (22:00),Premier League,Matchweek 37,Sat,Home,W,2,1,Burnley,55,11388,Simon Francis,4-4-1-1,Lee Probert,Match Report,
2017-05-21,15:00 (22:00),Premier League,Matchweek 38,Sun,Away,D,1,1,Leicester City,51,32000,Simon Francis,4-4-1-1,Lee Mason,Match Report,
