Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2016-08-13,15:00 (22:00),Premier League,Matchweek 1,Sat,Home,D,1,1,Tottenham,43,39494,Phil Jagielka,3-4-3,Martin Atkinson,Match Report,
2016-08-20,15:00 (22:00),Premier League,Matchweek 2,Sat,Away,W,2,1,West Brom,66,23654,Phil Jagielka,3-4-3,Niel Swarbrick,Match Report,
2016-08-23,19:45 (02:45),EFL Cup,Second round,Tue,Home,W,4,0,Yeovil Town,66,24617,Ross Barkley,5-3-2,Chris Kavanagh,Match Report,
2016-08-27,15:00 (22:00),Premier League,Matchweek 3,Sat,Home,W,1,0,Stoke City,55,39581,Phil Jagielka,4-2-3-1,Michael Oliver,Match Report,
2016-09-12,20:00 (03:00),Premier League,Matchweek 4,Mon,Away,W,3,0,Sunderland,67,42406,Phil Jagielka,4-2-3-1,Mike Jones,Match Report,
2016-09-17,17:30 (00:30),Premier League,Matchweek 5,Sat,Home,W,3,1,Middlesbrough,52,39074,Phil Jagielka,4-2-3-1,Lee Mason,Match Report,
2016-09-20,19:45 (02:45),EFL Cup,Third round,Tue,Home,L,0,2,Norwich City,58,29550,Séamus Coleman,4-2-3-1,Andy Madley,Match Report,
2016-09-24,15:00 (22:00),Premier League,Matchweek 6,Sat,Away,L,0,1,Bournemouth,47,11291,Phil Jagielka,4-2-3-1,Robert Madley,Match Report,
2016-09-30,20:00 (03:00),Premier League,Matchweek 7,Fri,Home,D,1,1,Crystal Palace,57,38758,Phil Jagielka,4-3-1-2,Jonathan Moss,Match Report,
2016-10-15,15:00 (22:00),Premier League,Matchweek 8,Sat,Away,D,1,1,Manchester City,27,54512,Phil Jagielka,4-3-3,Michael Oliver,Match Report,
2016-10-22,15:00 (22:00),Premier League,Matchweek 9,Sat,Away,L,1,2,Burnley,65,21416,Phil Jagielka,4-3-3,Mike Jones,Match Report,
2016-10-30,13:30 (21:30),Premier League,Matchweek 10,Sun,Home,W,2,0,West Ham,49,39574,Gareth Barry,4-2-3-1,Anthony Taylor,Match Report,
2016-11-05,17:30 (01:30),Premier League,Matchweek 11,Sat,Away,L,0,5,Chelsea,40,41429,Phil Jagielka,5-3-2,Robert Madley,Match Report,
2016-11-19,15:00 (23:00),Premier League,Matchweek 12,Sat,Home,D,1,1,Swansea City,63,38773,Phil Jagielka,4-2-3-1,Martin Atkinson,Match Report,
2016-11-27,16:30 (00:30),Premier League,Matchweek 13,Sun,Away,L,0,1,Southampton,47,31132,Phil Jagielka,4-2-3-1,Craig Pawson,Match Report,
2016-12-04,16:00 (00:00),Premier League,Matchweek 14,Sun,Home,D,1,1,Manchester Utd,46,39550,Gareth Barry,4-4-2,Michael Oliver,Match Report,
2016-12-10,12:30 (20:30),Premier League,Matchweek 15,Sat,Away,L,2,3,Watford,53,20769,Gareth Barry,4-2-3-1,Anthony Taylor,Match Report,
2016-12-13,19:45 (03:45),Premier League,Matchweek 16,Tue,Home,W,2,1,Arsenal,42,39510,Phil Jagielka,4-3-3,Mark Clattenburg,Match Report,
2016-12-19,20:00 (04:00),Premier League,Matchweek 17,Mon,Home,L,0,1,Liverpool,32,39590,Leighton Baines,4-2-3-1,Mike Dean,Match Report,
2016-12-26,15:00 (23:00),Premier League,Matchweek 18,Mon,Away,W,2,0,Leicester City,58,31985,Gareth Barry,3-4-3,Stuart Attwell,Match Report,
2016-12-30,20:00 (04:00),Premier League,Matchweek 19,Fri,Away,D,2,2,Hull City,57,20111,Phil Jagielka,4-2-3-1,Jonathan Moss,Match Report,
2017-01-02,15:00 (23:00),Premier League,Matchweek 20,Mon,Home,W,3,0,Southampton,54,38891,Leighton Baines,4-2-3-1,Kevin Friend,Match Report,
2017-01-07,15:00 (23:00),FA Cup,Third round,Sat,Home,L,1,2,Leicester City,,35493,,,Martin Atkinson,Match Report,
2017-01-15,13:30 (21:30),Premier League,Matchweek 21,Sun,Home,W,4,0,Manchester City,29,39588,Gareth Barry,3-5-2,Mark Clattenburg,Match Report,
2017-01-21,15:00 (23:00),Premier League,Matchweek 22,Sat,Away,W,1,0,Crystal Palace,56,25594,Gareth Barry,3-5-2,Anthony Taylor,Match Report,
2017-02-01,20:00 (04:00),Premier League,Matchweek 23,Wed,Away,D,1,1,Stoke City,53,27612,Leighton Baines,3-5-2,Craig Pawson,Match Report,
2017-02-04,15:00 (23:00),Premier League,Matchweek 24,Sat,Home,W,6,3,Bournemouth,46,39026,Gareth Barry,4-3-3,Mike Jones,Match Report,
2017-02-11,15:00 (23:00),Premier League,Matchweek 25,Sat,Away,D,0,0,Middlesbrough,54,31496,Leighton Baines,4-3-3,Mike Dean,Match Report,
