Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2016-08-13,12:30 (19:30),Premier League,Matchweek 1,Sat,Home,W,2,1,Leicester City,50,21037,Curtis Davies,4-3-3,Mike Dean,Match Report,
2016-08-20,15:00 (22:00),Premier League,Matchweek 2,Sat,Away,W,2,0,Swansea City,43,20024,Curtis Davies,4-3-3,Stuart Attwell,Match Report,
2016-08-23,19:45 (02:45),EFL Cup,Second round,Tue,Away,W,3,1,Exeter City,63,4037,Ahmed Elmohamady,4-3-3,Andy Woolmer,Match Report,
2016-08-27,17:30 (00:30),Premier League,Matchweek 3,Sat,Home,L,0,1,Manchester Utd,38,24560,David Meyler,4-3-3,Jonathan Moss,Match Report,
2016-09-10,15:00 (22:00),Premier League,Matchweek 4,Sat,Away,D,1,1,Burnley,61,18803,Curtis Davies,4-1-4-1,Paul Tierney,Match Report,
2016-09-17,15:00 (22:00),Premier League,Matchweek 5,Sat,Home,L,1,4,Arsenal,39,22536,Curtis Davies,4-3-3,Roger East,Match Report,
2016-09-21,20:00 (03:00),EFL Cup,Third round,Wed,Away,W,2,1,Stoke City,43,10550,Curtis Davies,4-4-2,Chris Kavanagh,Match Report,
2016-09-24,15:00 (22:00),Premier League,Matchweek 6,Sat,Away,L,1,5,Liverpool,26,53109,Curtis Davies,4-5-1,Andre Marriner,Match Report,
2016-10-01,15:00 (22:00),Premier League,Matchweek 7,Sat,Home,L,0,2,Chelsea,41,21257,Curtis Davies,4-5-1,Anthony Taylor,Match Report,
2016-10-15,15:00 (22:00),Premier League,Matchweek 8,Sat,Away,L,1,6,Bournemouth,51,11029,Curtis Davies,4-3-2-1,Lee Mason,Match Report,
2016-10-22,15:00 (22:00),Premier League,Matchweek 9,Sat,Home,L,0,2,Stoke City,49,18522,Michael Dawson,4-1-4-1,Kevin Friend,Match Report,
2016-10-25,19:45 (02:45),EFL Cup,Fourth round,Tue,Away,W,2,1,Bristol City,51,16149,Michael Dawson,4-4-2,Keith Stroud,Match Report,
2016-10-29,15:00 (22:00),Premier League,Matchweek 10,Sat,Away,L,0,1,Watford,46,20022,Michael Dawson,3-5-2,Jonathan Moss,Match Report,
2016-11-06,14:15 (22:15),Premier League,Matchweek 11,Sun,Home,W,2,1,Southampton,34,17768,Michael Dawson,3-5-2,Graham Scott,Match Report,
