Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2016-08-07,16:00 (23:00),Community Shield,FA Community Shield,Sun,Home,L,1,2,Manchester Utd,,85437,Wes Morgan,4-4-2,Craig Pawson,Match Report,
2016-08-13,12:30 (19:30),Premier League,Matchweek 1,Sat,Away,L,1,2,Hull City,50,21037,Wes Morgan,4-4-2,Mike Dean,Match Report,
2016-08-20,17:30 (00:30),Premier League,Matchweek 2,Sat,Home,D,0,0,Arsenal,40,32008,Wes Morgan,4-4-2,Mark Clattenburg,Match Report,
2016-08-27,15:00 (22:00),Premier League,Matchweek 3,Sat,Home,W,2,1,Swansea City,52,31727,Wes Morgan,4-4-2,Roger East,Match Report,
2016-09-10,17:30 (00:30),Premier League,Matchweek 4,Sat,Away,L,1,4,Liverpool,38,51232,Wes Morgan,4-4-2,Craig Pawson,Match Report,
2016-09-14,20:45 (02:45),Champions Lg,Group stage,Wed,Away,W,3,0,be Club Brugge,38,20970,Wes Morgan,4-4-2,Tasos Sidiropoulos,Match Report,
2016-09-17,15:00 (22:00),Premier League,Matchweek 5,Sat,Home,W,3,0,Burnley,59,31916,Wes Morgan,4-4-2,Anthony Taylor,Match Report,
2016-09-20,19:45 (02:45),EFL Cup,Third round,Tue,Home,L,2,4,Chelsea,34,29899,Wes Morgan,4-4-1-1,Robert Madley,Match Report,Required Extra Time
2016-09-24,12:30 (19:30),Premier League,Matchweek 6,Sat,Away,L,1,4,Manchester Utd,33,75256,Wes Morgan,4-4-2,Mike Dean,Match Report,
2016-09-27,19:45 (02:45),Champions Lg,Group stage,Tue,Home,W,1,0,pt Porto,40,31805,Wes Morgan,4-4-2,Cüneyt Çakιr,Match Report,
2016-10-02,14:15 (21:15),Premier League,Matchweek 7,Sun,Home,D,0,0,Southampton,38,31563,Kasper Schmeichel,4-4-2,Martin Atkinson,Match Report,
2016-10-15,12:30 (19:30),Premier League,Matchweek 8,Sat,Away,L,0,3,Chelsea,45,41547,Wes Morgan,4-4-2,Andre Marriner,Match Report,
2016-10-18,19:45 (02:45),Champions Lg,Group stage,Tue,Home,W,1,0,dk FC Copenhagen,41,31037,Wes Morgan,4-4-2,Nicola Rizzoli,Match Report,
2016-10-22,15:00 (22:00),Premier League,Matchweek 9,Sat,Home,W,3,1,Crystal Palace,45,31969,Wes Morgan,4-4-2,Michael Oliver,Match Report,
2016-10-29,15:00 (22:00),Premier League,Matchweek 10,Sat,Away,D,1,1,Tottenham,36,31868,Wes Morgan,4-4-2,Robert Madley,Match Report,
2016-11-02,20:45 (03:45),Champions Lg,Group stage,Wed,Away,D,0,0,dk FC Copenhagen,44,34146,Wes Morgan,4-4-2,Felix Brych,Match Report,
2016-11-06,16:30 (00:30),Premier League,Matchweek 11,Sun,Home,L,1,2,West Brom,59,31879,Wes Morgan,4-4-2,Craig Pawson,Match Report,
2016-11-19,15:00 (23:00),Premier League,Matchweek 12,Sat,Away,L,1,2,Watford,54,20640,Wes Morgan,4-4-2,Niel Swarbrick,Match Report,
2016-11-22,19:45 (03:45),Champions Lg,Group stage,Tue,Home,W,2,1,be Club Brugge,53,31443,Wes Morgan,4-4-2,Ruddy Buquet,Match Report,
2016-11-26,15:00 (23:00),Premier League,Matchweek 13,Sat,Home,D,2,2,Middlesbrough,41,32058,Wes Morgan,4-4-2,Lee Mason,Match Report,
2016-12-03,15:00 (23:00),Premier League,Matchweek 14,Sat,Away,L,1,2,Sunderland,47,39725,Wes Morgan,4-4-2,Andre Marriner,Match Report,
2016-12-07,19:45 (03:45),Champions Lg,Group stage,Wed,Away,L,0,5,pt Porto,33,39310,Wes Morgan,4-4-2,Felix Zwayer,Match Report,
2016-12-10,17:30 (01:30),Premier League,Matchweek 15,Sat,Home,W,4,2,Manchester City,22,31966,Wes Morgan,4-4-2,Michael Oliver,Match Report,
2016-12-13,19:45 (03:45),Premier League,Matchweek 16,Tue,Away,L,0,1,Bournemouth,37,11068,Wes Morgan,4-4-2,Paul Tierney,Match Report,
2016-12-17,15:00 (23:00),Premier League,Matchweek 17,Sat,Away,D,2,2,Stoke City,35,27663,Wes Morgan,4-4-2,Craig Pawson,Match Report,
2016-12-26,15:00 (23:00),Premier League,Matchweek 18,Mon,Home,L,0,2,Everton,42,31985,Wes Morgan,4-4-2,Stuart Attwell,Match Report,
2016-12-31,15:00 (23:00),Premier League,Matchweek 19,Sat,Home,W,1,0,West Ham,40,32060,Wes Morgan,4-2-3-1,Anthony Taylor,Match Report,
2017-01-02,12:30 (20:30),Premier League,Matchweek 20,Mon,Away,D,0,0,Middlesbrough,37,32437,Wes Morgan,4-1-2-1-2◆,Robert Madley,Match Report,
2017-01-07,15:00 (23:00),FA Cup,Third round,Sat,Away,W,2,1,Everton,,35493,,,Martin Atkinson,Match Report,
2017-01-14,17:30 (01:30),Premier League,Matchweek 21,Sat,Home,L,0,3,Chelsea,35,32066,Wes Morgan,3-5-2,Andre Marriner,Match Report,
2017-01-22,12:00 (20:00),Premier League,Matchweek 22,Sun,Away,L,0,3,Southampton,40,30548,Wes Morgan,4-1-2-1-2◆,Michael Oliver,Match Report,
2017-01-27,19:55 (03:55),FA Cup,Fourth round,Fri,Away,D,2,2,Derby County,,25079,,,Mark Clattenburg,Match Report,
2017-01-31,19:45 (03:45),Premier League,Matchweek 23,Tue,Away,L,0,1,Burnley,41,19202,Wes Morgan,4-4-2,Mike Dean,Match Report,
2017-02-05,16:00 (00:00),Premier League,Matchweek 24,Sun,Home,L,0,3,Manchester Utd,32,32072,Wes Morgan,4-2-3-1,Anthony Taylor,Match Report,
2017-02-08,19:45 (03:45),FA Cup,Fourth round,Wed,Home,W,3,1,Derby County,,31648,,,Mike Jones,Match Report,Required Extra Time
2017-02-12,16:00 (00:00),Premier League,Matchweek 25,Sun,Away,L,0,2,Swansea City,51,20391,Wes Morgan,4-4-2,Jonathan Moss,Match Report,
2017-02-18,15:00 (23:00),FA Cup,Fifth round,Sat,Away,L,0,1,Millwall,,18012,,,Craig Pawson,Match Report,
2017-02-22,20:45 (03:45),Champions Lg,Round of 16,Wed,Away,L,1,2,es Sevilla,28,38834,Wes Morgan,4-2-3-1,Clément Turpin,Match Report,Leg 1 of 2
2017-02-27,20:00 (04:00),Premier League,Matchweek 26,Mon,Home,W,3,1,Liverpool,31,32034,Wes Morgan,4-4-1-1,Michael Oliver,Match Report,
2017-03-04,15:00 (23:00),Premier League,Matchweek 27,Sat,Home,W,3,1,Hull City,50,31971,Wes Morgan,4-2-3-1,Mike Dean,Match Report,
2017-03-14,19:45 (03:45),Champions Lg,Round of 16,Tue,Home,W,2,0,es Sevilla,29,31520,Wes Morgan,4-4-2,Daniele Orsato,Match Report,Leg 2 of 2; Leicester City won
