Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2016-08-13,15:00 (22:00),Premier League,Matchweek 1,Sat,Home,D,1,1,Stoke City,46,32110,George Friend,4-2-3-1,Kevin Friend,Match Report,
2016-08-21,13:30 (20:30),Premier League,Matchweek 2,Sun,Away,W,2,1,Sunderland,53,43515,George Friend,4-2-3-1,Martin Atkinson,Match Report,
2016-08-24,19:45 (02:45),EFL Cup,Second round,Wed,Away,L,1,2,Fulham,56,8522,Ben Gibson,4-2-3-1,David Coote,Match Report,Required Extra Time
2016-08-28,13:30 (20:30),Premier League,Matchweek 3,Sun,Away,D,0,0,West Brom,59,23690,Ben Gibson,4-2-3-1,Anthony Taylor,Match Report,
2016-09-10,15:00 (22:00),Premier League,Matchweek 4,Sat,Home,L,1,2,Crystal Palace,58,30551,George Friend,4-2-3-1,Niel Swarbrick,Match Report,
2016-09-17,17:30 (00:30),Premier League,Matchweek 5,Sat,Away,L,1,3,Everton,48,39074,George Friend,4-2-3-1,Lee Mason,Match Report,
2016-09-24,15:00 (22:00),Premier League,Matchweek 6,Sat,Home,L,1,2,Tottenham,42,32703,George Friend,4-2-3-1,Graham Scott,Match Report,
2016-10-01,15:00 (22:00),Premier League,Matchweek 7,Sat,Away,D,1,1,West Ham,60,56945,George Friend,4-4-1-1,Niel Swarbrick,Match Report,
2016-10-16,13:30 (20:30),Premier League,Matchweek 8,Sun,Home,L,0,1,Watford,64,28131,George Friend,4-2-3-1,Roger East,Match Report,
2016-10-22,15:00 (22:00),Premier League,Matchweek 9,Sat,Away,D,0,0,Arsenal,25,59982,George Friend,4-5-1,Mike Dean,Match Report,
2016-10-29,15:00 (22:00),Premier League,Matchweek 10,Sat,Home,W,2,0,Bournemouth,40,29600,George Friend,4-2-3-1,Stuart Attwell,Match Report,
2016-11-05,15:00 (23:00),Premier League,Matchweek 11,Sat,Away,D,1,1,Manchester City,29,54294,George Friend,4-5-1,Kevin Friend,Match Report,
2016-11-20,16:00 (00:00),Premier League,Matchweek 12,Sun,Home,L,0,1,Chelsea,42,32704,Ben Gibson,4-5-1,Jonathan Moss,Match Report,
2016-11-26,15:00 (23:00),Premier League,Matchweek 13,Sat,Away,D,2,2,Leicester City,59,32058,Ben Gibson,4-5-1,Lee Mason,Match Report,
2016-12-05,20:00 (04:00),Premier League,Matchweek 14,Mon,Home,W,1,0,Hull City,61,27395,Ben Gibson,4-3-3,Mike Dean,Match Report,
2016-12-11,14:15 (22:15),Premier League,Matchweek 15,Sun,Away,L,0,1,Southampton,45,28976,Ben Gibson,4-3-3,Stuart Attwell,Match Report,
2016-12-14,19:45 (03:45),Premier League,Matchweek 16,Wed,Home,L,0,3,Liverpool,37,32704,Ben Gibson,4-3-3,Jonathan Moss,Match Report,
2016-12-17,15:00 (23:00),Premier League,Matchweek 17,Sat,Home,W,3,0,Swansea City,43,28302,Ben Gibson,4-3-3,Niel Swarbrick,Match Report,
