Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2018-08-11,15:00 (22:00),Premier League,Matchweek 1,Sat,Home,W,2,0,Cardiff City,2.2,1.4,63,10353,Andrew Surman,4-4-2,Kevin Friend,Match Report,
2018-08-18,15:00 (22:00),Premier League,Matchweek 2,Sat,Away,W,2,1,West Ham,1.3,1.2,39,56888,Andrew Surman,4-4-2,Stuart Attwell,Match Report,
2018-08-25,15:00 (22:00),Premier League,Matchweek 3,Sat,Home,D,2,2,Everton,2.2,0.6,50,10654,Andrew Surman,4-4-2,Lee Probert,Match Report,
2018-08-28,19:45 (02:45),EFL Cup,Second round,Tue,Home,W,3,0,MK Dons,,,56,9747,Simon Francis,4-4-2,James Linington,Match Report,
2018-09-01,15:00 (22:00),Premier League,Matchweek 4,Sat,Away,L,0,2,Chelsea,0.9,1.1,28,40178,Simon Francis,3-4-3,Lee Mason,Match Report,
2018-09-15,15:00 (22:00),Premier League,Matchweek 5,Sat,Home,W,4,2,Leicester City,2.3,2.3,47,10543,Steve Cook,4-4-2,Craig Pawson,Match Report,
2018-09-22,15:00 (22:00),Premier League,Matchweek 6,Sat,Away,L,0,4,Burnley,1.0,2.1,62,18636,Andrew Surman,4-4-2,Anthony Taylor,Match Report,
2018-09-25,19:45 (02:45),EFL Cup,Third round,Tue,Home,W,3,2,Blackburn,,,58,9715,Simon Francis,4-4-2,Simon Hooper,Match Report,
2018-10-01,20:00 (03:00),Premier League,Matchweek 7,Mon,Home,W,2,1,Crystal Palace,1.8,0.4,45,10199,Simon Francis,4-4-2,Mike Dean,Match Report,
2018-10-06,15:00 (22:00),Premier League,Matchweek 8,Sat,Away,W,4,0,Watford,3.2,1.0,52,20139,Simon Francis,4-4-2,Jonathan Moss,Match Report,
2018-10-20,15:00 (22:00),Premier League,Matchweek 9,Sat,Home,D,0,0,Southampton,0.9,0.5,58,10986,Simon Francis,4-4-2,Lee Probert,Match Report,
2018-10-27,15:00 (22:00),Premier League,Matchweek 10,Sat,Away,W,3,0,Fulham,2.0,0.5,49,25071,Simon Francis,3-4-3,Andre Marriner,Match Report,
2018-10-30,19:45 (03:45),EFL Cup,Fourth round,Tue,Home,W,2,1,Norwich City,,,41,10331,Simon Francis,3-4-3,Lee Mason,Match Report,
2018-11-03,12:30 (20:30),Premier League,Matchweek 11,Sat,Home,L,1,2,Manchester Utd,1.6,3.0,49,10792,Simon Francis,4-4-1-1,Paul Tierney,Match Report,
2018-11-10,15:00 (23:00),Premier League,Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,1.6,2.2,60,49266,Simon Francis,4-4-1-1,Lee Probert,Match Report,
2018-11-25,13:30 (21:30),Premier League,Matchweek 13,Sun,Home,L,1,2,Arsenal,0.6,1.6,42,10792,Simon Francis,4-4-2,Craig Pawson,Match Report,
2018-12-01,15:00 (23:00),Premier League,Matchweek 14,Sat,Away,L,1,3,Manchester City,0.6,2.6,28,54409,Simon Francis,5-4-1,Stuart Attwell,Match Report,
2018-12-04,19:45 (03:45),Premier League,Matchweek 15,Tue,Home,W,2,1,Huddersfield,0.9,1.8,33,9980,Simon Francis,4-4-2,Roger East,Match Report,
2018-12-08,12:30 (20:30),Premier League,Matchweek 16,Sat,Home,L,0,4,Liverpool,0.3,1.6,41,10752,Simon Francis,4-4-2,Lee Mason,Match Report,
2018-12-15,15:00 (23:00),Premier League,Matchweek 17,Sat,Away,L,0,2,Wolves,0.6,1.8,62,30997,Andrew Surman,3-4-3,Simon Hooper,Match Report,
2018-12-19,19:45 (03:45),EFL Cup,Quarter-finals,Wed,Away,L,0,1,Chelsea,,,27,40432,Steve Cook,3-5-2,Anthony Taylor,Match Report,
2018-12-22,15:00 (23:00),Premier League,Matchweek 18,Sat,Home,W,2,0,Brighton,0.8,0.8,57,10491,Simon Francis,4-4-2,Mike Dean,Match Report,
2018-12-26,15:00 (23:00),Premier League,Matchweek 19,Wed,Away,L,0,5,Tottenham,1.1,1.7,44,45154,Simon Francis,4-1-4-1,Chris Kavanagh,Match Report,
2018-12-30,16:30 (00:30),Premier League,Matchweek 20,Sun,Away,L,1,4,Manchester Utd,0.5,2.9,35,74556,Andrew Surman,3-5-2,Lee Mason,Match Report,
2019-01-02,19:45 (03:45),Premier League,Matchweek 21,Wed,Home,D,3,3,Watford,2.2,0.9,57,10261,Steve Cook,4-4-2,David Coote,Match Report,
2019-01-05,12:30 (20:30),FA Cup,Third round,Sat,Home,L,1,3,Brighton,,,49,10522,Andrew Surman,4-4-1-1,Michael Oliver,Match Report,
2019-01-13,14:15 (22:15),Premier League,Matchweek 22,Sun,Away,L,0,2,Everton,1.9,1.0,49,38113,Steve Cook,4-4-1-1,Anthony Taylor,Match Report,
2019-01-19,15:00 (23:00),Premier League,Matchweek 23,Sat,Home,W,2,0,West Ham,1.1,1.1,39,10495,Steve Cook,4-4-2,Simon Hooper,Match Report,
2019-01-30,19:45 (03:45),Premier League,Matchweek 24,Wed,Home,W,4,0,Chelsea,2.0,0.7,32,10227,Andrew Surman,4-4-1-1,Roger East,Match Report,
2019-02-02,17:30 (01:30),Premier League,Matchweek 25,Sat,Away,L,0,2,Cardiff City,0.5,2.1,73,31939,Andrew Surman,4-4-1-1,Jonathan Moss,Match Report,
2019-02-09,15:00 (23:00),Premier League,Matchweek 26,Sat,Away,L,0,3,Liverpool,0.4,2.0,35,53178,Andrew Surman,4-5-1,Anthony Taylor,Match Report,
2019-02-23,15:00 (23:00),Premier League,Matchweek 27,Sat,Home,D,1,1,Wolves,2.4,1.5,45,10671,Dan Gosling,4-4-1-1,Roger East,Match Report,
2019-02-27,19:45 (03:45),Premier League,Matchweek 28,Wed,Away,L,1,5,Arsenal,0.9,2.5,36,59618,Andrew Surman,4-4-2,Chris Kavanagh,Match Report,
2019-03-02,15:00 (23:00),Premier League,Matchweek 29,Sat,Home,L,0,1,Manchester City,0.0,1.2,19,10699,Andrew Surman,5-4-1,Kevin Friend,Match Report,
2019-03-09,15:00 (23:00),Premier League,Matchweek 30,Sat,Away,W,2,0,Huddersfield,1.9,0.3,43,22304,Andrew Surman,4-4-2,Anthony Taylor,Match Report,
2019-03-16,15:00 (23:00),Premier League,Matchweek 31,Sat,Home,D,2,2,Newcastle Utd,1.3,1.1,49,10625,Charlie Daniels,4-4-2,Mike Dean,Match Report,
2019-03-30,15:00 (23:00),Premier League,Matchweek 32,Sat,Away,L,0,2,Leicester City,0.8,1.3,42,31530,Dan Gosling,4-4-2,Lee Mason,Match Report,
2019-04-06,15:00 (22:00),Premier League,Matchweek 33,Sat,Home,L,1,3,Burnley,1.1,1.2,59,10446,Dan Gosling,4-4-2,Martin Atkinson,Match Report,
2019-04-13,15:00 (22:00),Premier League,Matchweek 34,Sat,Away,W,5,0,Brighton,2.5,0.3,49,30460,Steve Cook,4-4-2,Kevin Friend,Match Report,
