Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2018-08-11,17:30 (00:30),Premier League,Matchweek 1,Sat,Home,D,2,2,Everton,1.0,1.0,58,31231,Conor Coady,3-4-3,Craig Pawson,Match Report,
2018-08-18,15:00 (22:00),Premier League,Matchweek 2,Sat,Away,L,0,2,Leicester City,1.1,0.2,57,32043,Conor Coady,3-4-3,Mike Dean,Match Report,
2018-08-25,12:30 (19:30),Premier League,Matchweek 3,Sat,Home,D,1,1,Manchester City,1.0,1.6,29,31322,Conor Coady,3-4-3,Martin Atkinson,Match Report,
2018-08-28,19:45 (02:45),EFL Cup,Second round,Tue,Away,W,2,0,Sheffield Weds,,,55,13597,Conor Coady,3-4-3,Robert Jones,Match Report,
2018-09-01,15:00 (22:00),Premier League,Matchweek 4,Sat,Away,W,1,0,West Ham,1.0,1.1,52,56947,Conor Coady,3-4-3,Chris Kavanagh,Match Report,
2018-09-16,13:30 (20:30),Premier League,Matchweek 5,Sun,Home,W,1,0,Burnley,2.6,0.3,59,30406,Conor Coady,3-4-3,Andre Marriner,Match Report,
2018-09-22,15:00 (22:00),Premier League,Matchweek 6,Sat,Away,D,1,1,Manchester Utd,1.0,0.6,36,74489,Conor Coady,3-4-3,Kevin Friend,Match Report,
2018-09-25,19:45 (02:45),EFL Cup,Third round,Tue,Home,D,0 (1),0 (3),Leicester City,,,56,21562,Conor Coady,3-4-3,Paul Tierney,Match Report,Leicester City won on penalty kicks following extra time
2018-09-29,15:00 (22:00),Premier League,Matchweek 7,Sat,Home,W,2,0,Southampton,1.6,0.8,49,31147,Conor Coady,3-4-3,Stuart Attwell,Match Report,
2018-10-06,15:00 (22:00),Premier League,Matchweek 8,Sat,Away,W,1,0,Crystal Palace,0.7,1.4,33,25715,Conor Coady,3-4-3,Michael Oliver,Match Report,
2018-10-20,15:00 (22:00),Premier League,Matchweek 9,Sat,Home,L,0,2,Watford,0.7,1.1,45,31144,Conor Coady,3-4-3,Lee Mason,Match Report,
2018-10-27,15:00 (22:00),Premier League,Matchweek 10,Sat,Away,L,0,1,Brighton,1.4,0.9,60,30654,Conor Coady,3-4-3,Anthony Taylor,Match Report,
2018-11-03,19:45 (03:45),Premier League,Matchweek 11,Sat,Home,L,2,3,Tottenham,2.7,1.4,49,31185,Conor Coady,3-4-3,Mike Dean,Match Report,
2018-11-11,16:30 (00:30),Premier League,Matchweek 12,Sun,Away,D,1,1,Arsenal,1.9,0.9,29,60030,Conor Coady,3-4-3,Stuart Attwell,Match Report,
2018-11-25,16:00 (00:00),Premier League,Matchweek 13,Sun,Home,L,0,2,Huddersfield,0.8,0.7,46,30130,Conor Coady,3-4-3,Kevin Friend,Match Report,
2018-11-30,20:00 (04:00),Premier League,Matchweek 14,Fri,Away,L,1,2,Cardiff City,0.8,1.0,52,30213,Conor Coady,3-4-3,Andre Marriner,Match Report,
2018-12-05,19:45 (03:45),Premier League,Matchweek 15,Wed,Home,W,2,1,Chelsea,0.7,1.3,30,31300,Conor Coady,3-4-3,Jonathan Moss,Match Report,
2018-12-09,16:00 (00:00),Premier League,Matchweek 16,Sun,Away,W,2,1,Newcastle Utd,1.8,0.6,49,50223,Conor Coady,3-4-3,Mike Dean,Match Report,
2018-12-15,15:00 (23:00),Premier League,Matchweek 17,Sat,Home,W,2,0,Bournemouth,1.8,0.6,38,30997,Conor Coady,3-4-1-2,Simon Hooper,Match Report,
2018-12-21,20:00 (04:00),Premier League,Matchweek 18,Fri,Home,L,0,2,Liverpool,0.9,1.9,39,31358,Conor Coady,3-4-1-2,Craig Pawson,Match Report,
2018-12-26,12:30 (20:30),Premier League,Matchweek 19,Wed,Away,D,1,1,Fulham,1.4,1.2,70,24382,Conor Coady,3-4-1-2,Andre Marriner,Match Report,
2018-12-29,15:00 (23:00),Premier League,Matchweek 20,Sat,Away,W,3,1,Tottenham,0.9,0.3,40,46356,Conor Coady,3-4-3,Stuart Attwell,Match Report,
2019-01-02,19:45 (03:45),Premier League,Matchweek 21,Wed,Home,L,0,2,Crystal Palace,0.5,1.9,52,30666,Conor Coady,3-4-3,Roger East,Match Report,
2019-01-07,19:45 (03:45),FA Cup,Third round,Mon,Home,W,2,1,Liverpool,,,39,25849,Conor Coady,3-1-4-2,Paul Tierney,Match Report,
2019-01-14,20:00 (04:00),Premier League,Matchweek 22,Mon,Away,L,0,3,Manchester City,0.1,2.8,24,54171,Conor Coady,3-5-2,Craig Pawson,Match Report,
2019-01-19,12:30 (20:30),Premier League,Matchweek 23,Sat,Home,W,4,3,Leicester City,1.9,1.9,46,31278,Conor Coady,3-5-2,Chris Kavanagh,Match Report,
2019-01-26,15:00 (23:00),FA Cup,Fourth round,Sat,Away,D,2,2,Shrewsbury,,,66,9503,Conor Coady,3-5-2,Roger East,Match Report,
2019-01-29,19:45 (03:45),Premier League,Matchweek 24,Tue,Home,W,3,0,West Ham,2.2,0.2,55,31122,Conor Coady,3-5-2,David Coote,Match Report,
2019-02-02,15:00 (23:00),Premier League,Matchweek 25,Sat,Away,W,3,1,Everton,1.4,1.2,36,39380,Conor Coady,3-5-2,Lee Mason,Match Report,
2019-02-05,19:45 (03:45),FA Cup,Fourth round,Tue,Home,W,3,2,Shrewsbury,,,67,28844,Conor Coady,3-4-3,Lee Probert,Match Report,
2019-02-11,20:00 (04:00),Premier League,Matchweek 26,Mon,Home,D,1,1,Newcastle Utd,2.3,0.4,59,30687,Conor Coady,3-5-2,Graham Scott,Match Report,
