Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2019-08-10,15:00 (22:00),Premier League,Matchweek 1,Sat,Home,W,3,0,Southampton,0.9,1.2,47,19784,Ben Mee,4-4-2,Graham Scott,Match Report,
2019-08-17,12:30 (19:30),Premier League,Matchweek 2,Sat,Away,L,1,2,Arsenal,1.5,0.8,33,60214,Ben Mee,4-4-2,Mike Dean,Match Report,
2019-08-25,16:30 (23:30),Premier League,Matchweek 3,Sun,Away,D,1,1,Wolves,1.6,1.5,35,30522,Ben Mee,4-4-2,Craig Pawson,Match Report,
2019-08-28,19:45 (02:45),EFL Cup,Second round,Wed,Home,L,1,3,Sunderland,,,63,7445,Ben Gibson,4-4-2,Darren England,Match Report,
2019-08-31,17:30 (00:30),Premier League,Matchweek 4,Sat,Home,L,0,3,Liverpool,0.9,1.0,37,21762,Ben Mee,4-4-2,Chris Kavanagh,Match Report,
2019-09-14,15:00 (22:00),Premier League,Matchweek 5,Sat,Away,D,1,1,Brighton,0.4,1.4,38,29398,Ben Mee,4-4-2,Michael Oliver,Match Report,
2019-09-21,15:00 (22:00),Premier League,Matchweek 6,Sat,Home,W,2,0,Norwich City,2.0,0.8,42,19712,Ben Mee,4-4-2,David Coote,Match Report,
2019-09-28,15:00 (22:00),Premier League,Matchweek 7,Sat,Away,D,2,2,Aston Villa,1.5,1.0,40,41546,Ben Mee,4-4-2,Lee Mason,Match Report,
2019-10-05,15:00 (22:00),Premier League,Matchweek 8,Sat,Home,W,1,0,Everton,0.6,1.3,42,20650,Ben Mee,4-4-2,Graham Scott,Match Report,
2019-10-19,15:00 (22:00),Premier League,Matchweek 9,Sat,Away,L,1,2,Leicester City,1.5,1.0,37,32105,Ben Mee,4-4-2,Jonathan Moss,Match Report,
2019-10-26,17:30 (00:30),Premier League,Matchweek 10,Sat,Home,L,2,4,Chelsea,2.1,0.9,37,20975,Ben Mee,4-4-2,Michael Oliver,Match Report,
2019-11-02,15:00 (23:00),Premier League,Matchweek 11,Sat,Away,L,0,3,Sheffield Utd,0.8,2.3,55,31131,Ben Mee,4-4-2,Simon Hooper,Match Report,
2019-11-09,15:00 (23:00),Premier League,Matchweek 12,Sat,Home,W,3,0,West Ham,2.1,0.5,41,20255,Ben Mee,4-4-2,Kevin Friend,Match Report,
2019-11-23,15:00 (23:00),Premier League,Matchweek 13,Sat,Away,W,3,0,Watford,1.9,1.0,38,19711,Ben Mee,4-4-2,Paul Tierney,Match Report,
2019-11-30,15:00 (23:00),Premier League,Matchweek 14,Sat,Home,L,0,2,Crystal Palace,1.9,0.7,44,19818,Ben Mee,4-4-2,Peter Bankes,Match Report,
2019-12-03,20:15 (04:15),Premier League,Matchweek 15,Tue,Home,L,1,4,Manchester City,0.6,2.2,25,20101,Ben Mee,4-4-1-1,Jonathan Moss,Match Report,
2019-12-07,15:00 (23:00),Premier League,Matchweek 16,Sat,Away,L,0,5,Tottenham,0.9,2.6,51,58401,Ben Mee,4-4-2,Kevin Friend,Match Report,
2019-12-14,15:00 (23:00),Premier League,Matchweek 17,Sat,Home,W,1,0,Newcastle Utd,1.4,1.0,48,19798,Ben Mee,4-4-2,Tim Robinson,Match Report,
2019-12-21,15:00 (23:00),Premier League,Matchweek 18,Sat,Away,W,1,0,Bournemouth,0.2,0.1,37,10020,Ben Mee,4-4-2,Martin Atkinson,Match Report,
2019-12-26,15:00 (23:00),Premier League,Matchweek 19,Thu,Away,L,0,1,Everton,0.3,1.4,33,39177,Ben Mee,4-4-2,Anthony Taylor,Match Report,
2019-12-28,19:45 (03:45),Premier League,Matchweek 20,Sat,Home,L,0,2,Manchester Utd,0.5,2.2,39,21924,Ben Mee,4-4-2,Mike Dean,Match Report,
2020-01-01,12:30 (20:30),Premier League,Matchweek 21,Wed,Home,L,1,2,Aston Villa,2.2,1.3,62,19561,Ben Mee,4-4-2,Michael Oliver,Match Report,
2020-01-04,12:31 (20:31),FA Cup,Third round,Sat,Home,W,4,2,P'borough Utd,,,59,8043,Jack Cork,4-4-2,Robert Jones,Match Report,
2020-01-11,15:00 (23:00),Premier League,Matchweek 22,Sat,Away,L,0,3,Chelsea,0.8,2.7,35,40396,Ben Mee,4-4-1-1,Kevin Friend,Match Report,
2020-01-19,14:00 (22:00),Premier League,Matchweek 23,Sun,Home,W,2,1,Leicester City,1.4,2.5,45,19788,Ben Mee,4-4-2,Anthony Taylor,Match Report,
2020-01-22,20:15 (04:15),Premier League,Matchweek 24,Wed,Away,W,2,0,Manchester Utd,0.6,1.4,28,73198,Ben Mee,4-4-2,Jonathan Moss,Match Report,
2020-01-25,15:00 (23:00),FA Cup,Fourth round,Sat,Home,L,1,2,Norwich City,,,49,8071,Jack Cork,4-4-2,Michael Oliver,Match Report,
2020-02-02,14:00 (22:00),Premier League,Matchweek 25,Sun,Home,D,0,0,Arsenal,1.9,1.2,44,21048,Ben Mee,4-4-2,Chris Kavanagh,Match Report,
2020-02-15,12:30 (20:30),Premier League,Matchweek 26,Sat,Away,W,2,1,Southampton,0.8,0.8,38,26302,Ben Mee,4-4-2,Simon Hooper,Match Report,
2020-02-22,15:00 (23:00),Premier League,Matchweek 27,Sat,Home,W,3,0,Bournemouth,3.2,1.8,42,18227,Ben Mee,4-4-2,Mike Dean,Match Report,
2020-02-29,15:00 (23:00),Premier League,Matchweek 28,Sat,Away,D,0,0,Newcastle Utd,0.7,1.1,46,52219,Ben Mee,4-4-2,Andy Madley,Match Report,
2020-03-07,17:30 (01:30),Premier League,Matchweek 29,Sat,Home,D,1,1,Tottenham,3.0,1.2,46,20496,Ben Mee,4-4-2,Jonathan Moss,Match Report,
2020-06-22,20:00 (03:00),Premier League,Matchweek 30,Mon,Away,L,0,5,Manchester City,0.0,2.4,29,,Ben Mee,4-4-2,Andre Marriner,Match Report,
2020-06-25,18:00 (01:00),Premier League,Matchweek 31,Thu,Home,W,1,0,Watford,0.9,0.7,54,,Ben Mee,4-4-2,Mike Dean,Match Report,
2020-06-29,20:00 (03:00),Premier League,Matchweek 32,Mon,Away,W,1,0,Crystal Palace,0.4,0.9,41,,Ben Mee,4-4-1-1,Simon Hooper,Match Report,
2020-07-05,12:00 (19:00),Premier League,Matchweek 33,Sun,Home,D,1,1,Sheffield Utd,1.3,1.1,48,,James Tarkowski,4-4-2,Peter Bankes,Match Report,
2020-07-08,18:00 (01:00),Premier League,Matchweek 34,Wed,Away,W,1,0,West Ham,0.9,1.6,47,,James Tarkowski,4-4-2,Michael Oliver,Match Report,
2020-07-11,15:00 (22:00),Premier League,Matchweek 35,Sat,Away,D,1,1,Liverpool,0.4,1.7,29,,James Tarkowski,4-4-2,David Coote,Match Report,
2020-07-15,18:00 (01:00),Premier League,Matchweek 36,Wed,Home,D,1,1,Wolves,1.9,1.2,47,,James Tarkowski,4-4-2,Mike Dean,Match Report,
2020-07-18,17:30 (00:30),Premier League,Matchweek 37,Sat,Away,W,2,0,Norwich City,1.8,0.3,58,,James Tarkowski,4-4-2,Kevin Friend,Match Report,
2020-07-26,16:00 (23:00),Premier League,Matchweek 38,Sun,Home,L,1,2,Brighton,1.7,1.2,55,,James Tarkowski,4-4-2,Jonathan Moss,Match Report,
