Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2019-08-04,15:00 (22:00),Community Shield,FA Community Shield,Sun,Neutral,D,1 (4),1 (5),Manchester City,,,53,77565,Jordan Henderson,4-3-3,Martin Atkinson,Match Report,
2019-08-09,20:00 (03:00),Premier League,Matchweek 1,Fri,Home,W,4,1,Norwich City,1.8,0.9,57,53333,Jordan Henderson,4-3-3,Michael Oliver,Match Report,
2019-08-14,22:00 (03:00),Super Cup,UEFA Super Cup,Wed,Home,D,2 (5),2 (4),eng Chelsea,,,53,38434,Jordan Henderson,4-3-3,Stéphanie Frappart,Match Report,Liverpool won on penalty kicks following extra time
2019-08-17,15:00 (22:00),Premier League,Matchweek 2,Sat,Away,W,2,1,Southampton,1.3,1.9,63,31712,James Milner,4-3-3,Andre Marriner,Match Report,
2019-08-24,17:30 (00:30),Premier League,Matchweek 3,Sat,Home,W,3,1,Arsenal,2.5,1.0,52,53298,Jordan Henderson,4-3-3,Anthony Taylor,Match Report,
2019-08-31,17:30 (00:30),Premier League,Matchweek 4,Sat,Away,W,3,0,Burnley,1.0,0.9,63,21762,Jordan Henderson,4-3-3,Chris Kavanagh,Match Report,
2019-09-14,12:30 (19:30),Premier League,Matchweek 5,Sat,Home,W,3,1,Newcastle Utd,3.0,0.3,74,51430,Virgil van Dijk,4-3-3,Andre Marriner,Match Report,
2019-09-17,21:00 (03:00),Champions Lg,Group stage,Tue,Away,L,0,2,it Napoli,0.7,1.8,52,38878,Jordan Henderson,4-3-3,Felix Brych,Match Report,
2019-09-22,16:30 (23:30),Premier League,Matchweek 6,Sun,Away,W,2,1,Chelsea,0.6,1.3,45,40638,Jordan Henderson,4-3-3,Michael Oliver,Match Report,
2019-09-25,19:45 (02:45),EFL Cup,Third round,Wed,Away,W,2,0,MK Dons,,,78,28521,James Milner,4-3-3,Oliver Langford,Match Report,
2019-09-28,12:30 (19:30),Premier League,Matchweek 7,Sat,Away,W,1,0,Sheffield Utd,1.9,1.3,70,31774,Jordan Henderson,4-3-3,Anthony Taylor,Match Report,
2019-10-02,20:00 (03:00),Champions Lg,Group stage,Wed,Home,W,4,3,at RB Salzburg,2.5,1.6,69,52243,Jordan Henderson,4-3-3,Andreas Ekberg,Match Report,
2019-10-05,15:00 (22:00),Premier League,Matchweek 8,Sat,Home,W,2,1,Leicester City,3.5,0.1,51,53322,James Milner,4-3-3,Chris Kavanagh,Match Report,
2019-10-20,16:30 (23:30),Premier League,Matchweek 9,Sun,Away,D,1,1,Manchester Utd,1.2,0.7,66,73737,Jordan Henderson,4-3-3,Martin Atkinson,Match Report,
2019-10-23,21:00 (03:00),Champions Lg,Group stage,Wed,Away,W,4,1,be Genk,2.5,1.3,72,19626,James Milner,4-3-3,Slavko Vinčič,Match Report,
2019-10-27,16:30 (00:30),Premier League,Matchweek 10,Sun,Home,W,2,1,Tottenham,2.6,1.2,67,53222,Jordan Henderson,4-3-3,Anthony Taylor,Match Report,
2019-10-30,19:30 (03:30),EFL Cup,Fourth round,Wed,Home,D,5 (5),5 (4),Arsenal,,,66,52694,James Milner,4-3-3,Andre Marriner,Match Report,Liverpool won on penalty kicks following extra time
2019-11-02,15:00 (23:00),Premier League,Matchweek 11,Sat,Away,W,2,1,Aston Villa,2.4,0.4,73,41878,Jordan Henderson,4-3-3,Jonathan Moss,Match Report,
2019-11-05,20:00 (04:00),Champions Lg,Group stage,Tue,Home,W,2,1,be Genk,2.3,0.7,71,52611,James Milner,4-3-3,Ivan Kružliak,Match Report,
2019-11-10,16:30 (00:30),Premier League,Matchweek 12,Sun,Home,W,3,1,Manchester City,1.1,1.3,45,53324,Jordan Henderson,4-3-3,Michael Oliver,Match Report,
2019-11-23,15:00 (23:00),Premier League,Matchweek 13,Sat,Away,W,2,1,Crystal Palace,1.4,1.0,60,25486,Jordan Henderson,4-3-3,Kevin Friend,Match Report,
2019-11-27,20:00 (04:00),Champions Lg,Group stage,Wed,Home,D,1,1,it Napoli,0.8,0.5,71,52128,Jordan Henderson,4-3-3,Carlos del Cerro,Match Report,
2019-11-30,15:00 (23:00),Premier League,Matchweek 14,Sat,Home,W,2,1,Brighton,1.3,0.8,44,53319,Jordan Henderson,4-3-3,Martin Atkinson,Match Report,
2019-12-04,20:15 (04:15),Premier League,Matchweek 15,Wed,Home,W,5,2,Everton,2.0,1.5,58,53094,James Milner,4-2-3-1,Mike Dean,Match Report,
2019-12-07,15:00 (23:00),Premier League,Matchweek 16,Sat,Away,W,3,0,Bournemouth,2.4,0.1,73,10832,Jordan Henderson,4-3-3,Chris Kavanagh,Match Report,
2019-12-10,18:55 (01:55),Champions Lg,Group stage,Tue,Away,W,2,0,at RB Salzburg,3.4,0.7,57,29520,Jordan Henderson,4-3-3,Danny Makkelie,Match Report,
2019-12-14,12:30 (20:30),Premier League,Matchweek 17,Sat,Home,W,2,0,Watford,1.4,1.0,68,53311,Jordan Henderson,4-2-3-1,Andre Marriner,Match Report,
2019-12-17,19:45 (03:45),EFL Cup,Quarter-finals,Tue,Away,L,0,5,Aston Villa,,,57,30323,Pedro Chirivella,4-3-3,Lee Mason,Match Report,
2019-12-26,20:00 (04:00),Premier League,Matchweek 19,Thu,Away,W,4,0,Leicester City,3.2,0.1,59,32211,Jordan Henderson,4-3-3,Michael Oliver,Match Report,
2019-12-29,16:30 (00:30),Premier League,Matchweek 20,Sun,Home,W,1,0,Wolves,1.2,0.5,62,53326,Jordan Henderson,4-2-3-1,Anthony Taylor,Match Report,
2020-01-02,20:00 (04:00),Premier League,Matchweek 21,Thu,Home,W,2,0,Sheffield Utd,2.8,0.6,74,53321,Jordan Henderson,4-3-3,Paul Tierney,Match Report,
2020-01-05,16:01 (00:01),FA Cup,Third round,Sun,Home,W,1,0,Everton,,,57,52583,James Milner,4-3-3,Jonathan Moss,Match Report,
2020-01-11,17:30 (01:30),Premier League,Matchweek 22,Sat,Away,W,1,0,Tottenham,1.2,1.2,67,61023,Jordan Henderson,4-3-3,Martin Atkinson,Match Report,
2020-01-19,16:30 (00:30),Premier League,Matchweek 23,Sun,Home,W,2,0,Manchester Utd,1.9,1.3,53,52916,Jordan Henderson,4-3-3,Craig Pawson,Match Report,
2020-01-23,20:00 (04:00),Premier League,Matchweek 24,Thu,Away,W,2,1,Wolves,1.1,1.8,53,31746,Jordan Henderson,4-3-3,Michael Oliver,Match Report,
2020-01-26,17:00 (01:00),FA Cup,Fourth round,Sun,Away,D,2,2,Shrewsbury,,,70,9510,Dejan Lovren,4-3-3,Simon Hooper,Match Report,
2020-01-29,19:45 (03:45),Premier League,Matchweek 18,Wed,Away,W,2,0,West Ham,2.8,0.7,70,59959,Jordan Henderson,4-3-3,Jonathan Moss,Match Report,
2020-02-01,15:00 (23:00),Premier League,Matchweek 25,Sat,Home,W,4,0,Southampton,3.2,0.8,62,53291,Jordan Henderson,4-3-3,Kevin Friend,Match Report,
2020-02-04,19:45 (03:45),FA Cup,Fourth round,Tue,Home,W,1,0,Shrewsbury,,,58,52399,Curtis Jones,4-3-3,Andy Madley,Match Report,
